id,body,picture,actor,time,class,num_likes,num_shares
0,,2.jpg,coachmatthews,-20:35:00,lreal,0,0
1,,4.jpg,coachmatthews,-11:13:00,lreal,0,0
2,,6.jpg,coachmatthews,-0:45:00,lreal,0,0
3,,8.jpg,coachmatthews,-97:16:00,lreal,0,0
4,,10.jpg,coachmatthews,-93:00:00,lreal,0,0
5,,12.jpg,coachmatthews,-76:04:00,lreal,0,0
6,,14.jpg,coachmatthews,-73:17:00,lreal,0,0
7,,16.jpg,coachmatthews,-71:20:00,lreal,0,0
8,,18.jpg,coachmatthews,-56:45:00,lreal,0,0
9,,20.jpg,coachmatthews,-28:44:00,lreal,0,0
10,,22.jpg,M.Kapadia92,-22:40:00,lreal,0,0
11,,24.jpg,M.Kapadia92,-19:20:00,lreal,0,0
12,,26.jpg,M.Kapadia92,-97:55:00,lreal,0,0
13,,28.jpg,M.Kapadia92,-96:00:00,lreal,0,0
14,,30.jpg,M.Kapadia92,-94:40:00,lreal,0,0
15,,32.jpg,M.Kapadia92,-91:20:00,lreal,0,0
16,,34.jpg,M.Kapadia92,-72:20:00,lreal,0,0
17,,36.jpg,M.Kapadia92,-78:45:00,lreal,0,0
18,,38.jpg,M.Kapadia92,-0:59:00,lreal,0,0
19,,40.jpg,M.Kapadia92,-61:25:00,lreal,0,0
20,,42.jpg,M.Kapadia92,-44:34:00,lreal,0,0
21,,44.jpg,M.Kapadia92,-40:00:00,lreal,0,0
22,,46.jpg,ancho-n-cayenne,-24:30:00,lreal,0,0
23,,48.jpg,ancho-n-cayenne,-20:41:00,lreal,0,0
24,,50.jpg,ancho-n-cayenne,-1:40:00,lreal,0,0
25,,52.jpg,ancho-n-cayenne,-98:45:00,lreal,0,0
26,,54.jpg,ancho-n-cayenne,-75:39:00,lreal,0,0
27,,56.jpg,ancho-n-cayenne,-71:55:00,lreal,0,0
28,nice layers,57.jpg,ancho-n-cayenne,-62:41:00,freal,0,0
29,this veggie panini was perfect! there was the perfect amount of avocado to keep it juicy. I definitely did not miss the meat or cheese!,58.jpg,ancho-n-cayenne,-33:04:00,freal,0,0
30,I feel like I've had a lot of shaved ice/ice cream lately? but this one was matcha flavored and had pink mochi AND pink pocky garnishes <3,59.jpg,ancho-n-cayenne,-41:03:00,freal,0,0
31,Mornings at its finest,60.jpg,localewis,-90:08:00,freal,0,0
32,"veggie omelet, healthy as f***",61.jpg,localewis,-4:09:00,freal,0,0
33,#tbt to some authentic #fishandchips that I had in London #betterthanamericanfoodlol,62.jpg,localewis,-89:14:00,freal,0,0
34,Egg Benidict for brunch on this Sunny but windy day. Iced coffee was... let's just say I can make better ones at home. Haha.,63.jpg,localewis,-10:02:00,freal,0,0
35,,2.jpg,coachmatthews,-20:35:00,lAI,0,0
36,,4.jpg,coachmatthews,-11:13:00,lAI,0,0
37,,6.jpg,coachmatthews,-0:45:00,lAI,0,0
38,,8.jpg,coachmatthews,-97:16:00,lAI,0,0
39,,10.jpg,coachmatthews,-93:00:00,lAI,0,0
40,,12.jpg,coachmatthews,-76:04:00,lAI,0,0
41,,14.jpg,coachmatthews,-73:17:00,lAI,0,0
42,,16.jpg,coachmatthews,-71:20:00,lAI,0,0
43,,18.jpg,coachmatthews,-56:45:00,lAI,0,0
44,,20.jpg,coachmatthews,-28:44:00,lAI,0,0
45,,22.jpg,M.Kapadia92,-22:40:00,lAI,0,0
46,,24.jpg,M.Kapadia92,-19:20:00,lAI,0,0
47,,26.jpg,M.Kapadia92,-97:55:00,lAI,0,0
48,,28.jpg,M.Kapadia92,-96:00:00,lAI,0,0
49,,30.jpg,M.Kapadia92,-94:40:00,lAI,0,0
50,,32.jpg,M.Kapadia92,-91:20:00,lAI,0,0
51,,34.jpg,M.Kapadia92,-72:20:00,lAI,0,0
52,,36.jpg,M.Kapadia92,-78:45:00,lAI,0,0
53,,38.jpg,M.Kapadia92,-0:59:00,lAI,0,0
54,,40.jpg,M.Kapadia92,-61:25:00,lAI,0,0
55,,42.jpg,M.Kapadia92,-44:34:00,lAI,0,0
56,,44.jpg,M.Kapadia92,-40:00:00,lAI,0,0
57,,46.jpg,ancho-n-cayenne,-24:30:00,lAI,0,0
58,,48.jpg,ancho-n-cayenne,-20:41:00,lAI,0,0
59,,50.jpg,ancho-n-cayenne,-1:40:00,lAI,0,0
60,,52.jpg,ancho-n-cayenne,-98:45:00,lAI,0,0
61,,54.jpg,ancho-n-cayenne,-75:39:00,lAI,0,0
62,,56.jpg,ancho-n-cayenne,-71:55:00,lAI,0,0
63,nice layers,57.jpg,ancho-n-cayenne,-62:41:00,fAI,0,0
64,this veggie panini was perfect! there was the perfect amount of avocado to keep it juicy. I definitely did not miss the meat or cheese!,58.jpg,ancho-n-cayenne,-33:04:00,fAI,0,0
65,I feel like I've had a lot of shaved ice/ice cream lately? but this one was matcha flavored and had pink mochi AND pink pocky garnishes <3,59.jpg,ancho-n-cayenne,-41:03:00,fAI,0,0
66,Mornings at its finest,60.jpg,localewis,-90:08:00,fAI,0,0
67,"veggie omelet, healthy as f***",61.jpg,localewis,-4:09:00,fAI,0,0
68,#tbt to some authentic #fishandchips that I had in London #betterthanamericanfoodlol,62.jpg,localewis,-89:14:00,fAI,0,0
69,Egg Benidict for brunch on this Sunny but windy day. Iced coffee was... let's just say I can make better ones at home. Haha.,63.jpg,localewis,-10:02:00,fAI,0,0
