Prolific ID,ProificId,NumUserCommentsCreated,NumActorPostsLiked,NumActorPostsShared,NumActorCommentsLiked,UserPostsCreated,UserCommentsCreated,ActorPostsLiked(ImageName),ActorPostsLiked(PostID),ActorPostsShared(ImageName),ActorPostsShared(PostID),ActorCommentsLiked,TimeOnSite,"TimeSpentEachPost(ImageName,Time)","TimeSpentEachPost(PostID,Time)",PostLookup(PostID=ImageName),PageLog
,maoegg,1,0,2,0,,"erq, on Post t02lib-real.jpg (PostID 1), on Day 1
",,,"t30lib-real.jpg,t02lib-real.jpg","31,1",,169009,"[t30lib-real.jpg,216573];[t02lib-real.jpg,203755];[t15lib-real.jpg,2491];[t29lib-real.jpg,2475];[t09lib-real.jpg,1741];[t13lib-real.jpg,1802];[t14lib-real.jpg,1883];[t05lib-real.jpg,1717];[t06lib-real.jpg,1951];[t27lib-real.jpg,1986];[t19lib-real.jpg,2059];[t17lib-real.jpg,2153];[t28lib-real.jpg,2103];[t01lib-real.jpg,2378];[t11lib-real.jpg,1827];[t04lib-real.jpg,1858];[t03lib-real.jpg,2342];[t20lib-real.jpg,2450];[t21lib-real.jpg,1692];[t26lib-real.jpg,2028]","[31,216573];[1,203755];[14,2491];[29,2475];[7,1741];[12,1802];[13,1883];[3,1717];[4,1951];[26,1986];[18,2059];[16,2153];[27,2103];[0,2378];[10,1827];[2,1858];[9,2342];[19,2450];[20,1692];[25,2028]",31=t30lib-real.jpg;1=t02lib-real.jpg;14=t15lib-real.jpg;29=t29lib-real.jpg;7=t09lib-real.jpg;12=t13lib-real.jpg;13=t14lib-real.jpg;3=t05lib-real.jpg;4=t06lib-real.jpg;26=t27lib-real.jpg;18=t19lib-real.jpg;16=t17lib-real.jpg;27=t28lib-real.jpg;0=t01lib-real.jpg;10=t11lib-real.jpg;2=t04lib-real.jpg;9=t03lib-real.jpg;19=t20lib-real.jpg;20=t21lib-real.jpg;25=t26lib-real.jpg,"/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/"
,food,0,0,0,0,,,,,,,,0,,,,
,werwer,0,0,0,0,,,,,,,,57028,"[t30lib-ai.png,2245];[t21lib-ai.png,1766];[t29lib-real.jpg,1966];[t11lib-ai.png,2233];[t20lib-ai.png,5100];[t06lib-ai.png,1585];[t01lib-ai.png,3065];[t10lib-ai.png,2166];[t22lib-ai.png,4899];[t23lib-ai.png,10245]","[64,2245];[55,1766];[29,1966];[45,2233];[54,5100];[39,1585];[35,3065];[43,2166];[56,4899];[57,10245]",64=t30lib-ai.png;55=t21lib-ai.png;29=t29lib-real.jpg;45=t11lib-ai.png;54=t20lib-ai.png;39=t06lib-ai.png;35=t01lib-ai.png;43=t10lib-ai.png;56=t22lib-ai.png;57=t23lib-ai.png,/newsfeed/condition/
,ergetret,0,0,0,0,,,,,,,,0,"[t30con-ai.png,3990]","[64,3990]",64=t30con-ai.png,/newsfeed/condition/
,wrwere,0,0,0,0,,,,,,,,58422,"[t30con-real.jpg,3869];[t13con-ai.png,2062];[t23con-real.jpg,33145]","[64,3869];[40,2062];[22,33145]",64=t30con-real.jpg;40=t13con-ai.png;22=t23con-real.jpg,/newsfeed/condition/
,ewr,0,0,0,0,,,,,,,,62597,"[t30lib-real.jpg,4756];[t11lib-real.jpg,3451];[t04lib-real.jpg,2382];[t14lib-real.jpg,2951];[t20lib-real.jpg,1649];[t06lib-real.jpg,1501];[t27lib-ai.png,1534];[t26lib-real.jpg,6715];[t19lib-real.jpg,2517];[t17lib-real.jpg,2017];[t10lib-real.jpg,3150];[t22lib-real.jpg,2517];[t16lib-real.jpg,3432];[t23lib-real.jpg,7590];[t02lib-real.jpg,1517]","[31,4756];[10,3451];[2,2382];[13,2951];[19,1649];[4,1501];[61,1534];[25,6715];[18,2517];[16,2017];[8,3150];[21,2517];[15,3432];[22,7590];[1,1517]",31=t30lib-real.jpg;10=t11lib-real.jpg;2=t04lib-real.jpg;13=t14lib-real.jpg;19=t20lib-real.jpg;4=t06lib-real.jpg;61=t27lib-ai.png;25=t26lib-real.jpg;18=t19lib-real.jpg;16=t17lib-real.jpg;8=t10lib-real.jpg;21=t22lib-real.jpg;15=t16lib-real.jpg;22=t23lib-real.jpg;1=t02lib-real.jpg,/newsfeed/condition/
,wqewq,1,13,1,0,,"test, on Post t08con-real.jpg (PostID 6), on Day 1
","t01con-ai.png,t27con-ai.png,t06con-real.jpg,t20con-ai.png,t14con-real.jpg,t04con-real.jpg,t29con-real.jpg,t09con-real.jpg,t05con-ai.png,t21con-real.jpg,t15con-real.jpg,t02con-real.jpg,t30con-ai.png","28,54,4,47,13,2,63,7,31,20,14,1,64",t17con-real.jpg,16,,144897,"[t23con-real.jpg,13952];[t16con-ai.png,10601];[t12con-real.jpg,1900];[t22con-ai.png,3167];[t10con-ai.png,8934];[t08con-real.jpg,0];[t03con-real.jpg,2100];[t01con-ai.png,0];[t17con-real.jpg,0];[t28con-real.jpg,2417];[t19con-real.jpg,3282];[t26con-real.jpg,8767];[t27con-ai.png,5617];[t06con-real.jpg,8083];[t20con-ai.png,2684];[t14con-real.jpg,2299];[t04con-real.jpg,3951];[t11con-ai.png,2483];[t13con-ai.png,5551];[t29con-real.jpg,3601];[t09con-real.jpg,1850];[t05con-ai.png,3184];[t21con-real.jpg,3217];[t15con-real.jpg,2534];[t02con-real.jpg,1801];[t30con-ai.png,13316]","[22,13952];[43,10601];[11,1900];[49,3167];[36,8934];[6,0];[9,2100];[28,0];[16,0];[27,2417];[18,3282];[25,8767];[54,5617];[4,8083];[47,2684];[13,2299];[2,3951];[38,2483];[40,5551];[63,3601];[7,1850];[31,3184];[20,3217];[14,2534];[1,1801];[64,13316]",22=t23con-real.jpg;43=t16con-ai.png;11=t12con-real.jpg;49=t22con-ai.png;36=t10con-ai.png;6=t08con-real.jpg;9=t03con-real.jpg;28=t01con-ai.png;16=t17con-real.jpg;27=t28con-real.jpg;18=t19con-real.jpg;25=t26con-real.jpg;54=t27con-ai.png;4=t06con-real.jpg;47=t20con-ai.png;13=t14con-real.jpg;2=t04con-real.jpg;38=t11con-ai.png;40=t13con-ai.png;63=t29con-real.jpg;7=t09con-real.jpg;31=t05con-ai.png;20=t21con-real.jpg;14=t15con-real.jpg;1=t02con-real.jpg;64=t30con-ai.png,/newsfeed/condition/
,jfkfgjglk;sjg;l,1,1,1,0,,"test, on Post t12lib-real.jpg (PostID 11), on Day 1
",t01lib-real.jpg,0,t12lib-real.jpg,11,,0,"[t30lib-real.jpg,7669];[t02lib-real.jpg,2363];[t01lib-real.jpg,3517];[t17lib-real.jpg,1520];[t12lib-real.jpg,2265];[t16lib-real.jpg,12061];[t23lib-real.jpg,10346]","[31,7669];[1,2363];[0,3517];[16,1520];[11,2265];[15,12061];[22,10346]",31=t30lib-real.jpg;1=t02lib-real.jpg;0=t01lib-real.jpg;16=t17lib-real.jpg;11=t12lib-real.jpg;15=t16lib-real.jpg;22=t23lib-real.jpg,/newsfeed/condition/
,fd,0,2,0,0,,,"t30lib-real.jpg,t23lib-real.jpg","31,22",,,,80208,"[t30lib-real.jpg,15363];[t02lib-real.jpg,15921];[t15lib-real.jpg,8772];[t21lib-real.jpg,10858];[t23lib-real.jpg,47840];[t16lib-real.jpg,48166];[t22lib-real.jpg,13968];[t12lib-real.jpg,14189];[t05lib-ai.png,8926];[t09lib-real.jpg,9009];[t13lib-ai.png,9160];[t04lib-real.jpg,9302];[t11lib-real.jpg,9232];[t28lib-real.jpg,11539];[t20lib-real.jpg,9461];[t08lib-real.jpg,12112];[t06lib-real.jpg,9539];[t27lib-ai.png,9618];[t26lib-real.jpg,11233];[t29lib-real.jpg,9079];[t01lib-real.jpg,11828];[t19lib-real.jpg,11393];[t14lib-real.jpg,9387];[t17lib-real.jpg,11684];[t03lib-real.jpg,11974];[t10lib-real.jpg,12261]","[31,15363];[1,15921];[14,8772];[20,10858];[22,47840];[15,48166];[21,13968];[11,14189];[38,8926];[7,9009];[47,9160];[2,9302];[10,9232];[27,11539];[19,9461];[6,12112];[4,9539];[61,9618];[25,11233];[29,9079];[0,11828];[18,11393];[13,9387];[16,11684];[9,11974];[8,12261]",31=t30lib-real.jpg;1=t02lib-real.jpg;14=t15lib-real.jpg;20=t21lib-real.jpg;22=t23lib-real.jpg;15=t16lib-real.jpg;21=t22lib-real.jpg;11=t12lib-real.jpg;38=t05lib-ai.png;7=t09lib-real.jpg;47=t13lib-ai.png;2=t04lib-real.jpg;10=t11lib-real.jpg;27=t28lib-real.jpg;19=t20lib-real.jpg;6=t08lib-real.jpg;4=t06lib-real.jpg;61=t27lib-ai.png;25=t26lib-real.jpg;29=t29lib-real.jpg;0=t01lib-real.jpg;18=t19lib-real.jpg;13=t14lib-real.jpg;16=t17lib-real.jpg;9=t03lib-real.jpg;8=t10lib-real.jpg,"/newsfeed/condition/,/newsfeed/condition/"
,werew,1,2,1,0,,"test, on Post t01con-ai.png (PostID 28), on Day 1
","t08con-ai.png,t22con-ai.png","34,49",t03con-real.jpg,9,,71157,"[t30con-ai.png,9425];[t02con-ai.png,1865];[t15con-real.jpg,1583];[t21con-ai.png,3881];[t05con-ai.png,2982];[t29con-real.jpg,1882];[t13con-ai.png,1617];[t27con-ai.png,1883];[t26con-ai.png,1600];[t01con-ai.png,1782];[t03con-real.jpg,2850];[t08con-ai.png,1634];[t10con-ai.png,2016];[t22con-ai.png,4351];[t12con-real.jpg,0];[t16con-ai.png,4217];[t23con-ai.png,4185];[t30lib-ai.png,1929];[t05lib-ai.png,2099];[t29lib-real.jpg,12121];[t13lib-ai.png,11013]","[64,9425];[29,1865];[14,1583];[48,3881];[31,2982];[63,1882];[40,1617];[54,1883];[53,1600];[28,1782];[9,2850];[34,1634];[36,2016];[49,4351];[11,0];[43,4217];[50,4185];[64,1929];[38,2099];[29,12121];[47,11013]",64=t30con-ai.png;29=t02con-ai.png;14=t15con-real.jpg;48=t21con-ai.png;31=t05con-ai.png;63=t29con-real.jpg;40=t13con-ai.png;54=t27con-ai.png;53=t26con-ai.png;28=t01con-ai.png;9=t03con-real.jpg;34=t08con-ai.png;36=t10con-ai.png;49=t22con-ai.png;11=t12con-real.jpg;43=t16con-ai.png;50=t23con-ai.png;64=t30lib-ai.png;38=t05lib-ai.png;29=t29lib-real.jpg;47=t13lib-ai.png,"/newsfeed/condition/,/newsfeed/condition/"
